region
Chelyabinsk
Bashkortostan Republic
St.-Petersburg
Moscow
Rostov
Moscow Oblast
Kursk Oblast
Kemerovo Oblast
Arkhangelskaya
Tomsk Oblast
Novosibirsk Oblast
Sverdlovsk Oblast
Leningradskaya Oblast'
Krasnodar Krai
Tatarstan Republic
Belgorod Oblast
Kuzbass
Udmurtiya Republic
Chuvashia
Ryazan Oblast
Perm Krai
Sakha
Orenburg Oblast
Primorye
Zabaykalskiy (Transbaikal) Kray
Bryansk Oblast
Tver Oblast
Stavropol Kray
Khabarovsk
Penza Oblast
Mariy-El Republic
Smolensk Oblast
Tambov Oblast
Novgorod Oblast
Khakasiya Republic
Ulyanovsk
Volgograd Oblast
Irkutsk Oblast
Komi
Nizhny Novgorod Oblast
Krasnoyarsk Krai
Kurgan Oblast
Kirov Oblast
Omsk Oblast
Vladimir Oblast
Yaroslavl Oblast
Saratov Oblast
Khanty-Mansia
Tula Oblast
Amur Oblast
Altay Kray
Buryatiya Republic
Dagestan
Kaluga Oblast
Kaliningrad Oblast
Murmansk
Samara Oblast
Stavropol’ Kray
Voronezh Oblast
Kursk
Sverdlovsk
Karelia
Lipetsk Oblast
Adygeya Republic
Ivanovo Oblast
Oryol oblast
Tula
Kamchatka
Tyumen Oblast
Krasnodarskiy
Krasnoyarskiy
Pskov Oblast
Crimea
Chechnya
Saratovskaya Oblast
Kalmykiya Republic
North Ossetia–Alania
Vologda Oblast
Karachayevo-Cherkesiya Republic
Voronezj
Chukotka
Mordoviya Republic
Kostroma Oblast
Yamalo-Nenets
Magadan Oblast
Altai
Vladimir
Ivanovo
Astrakhan Oblast
Penza
Kabardino-Balkariya Republic
Jaroslavl
Sakhalin Oblast
Sebastopol City
Tyumen’ Oblast
Kirov
Orel Oblast
Omsk
Smolenskaya Oblast’
Nenets
Tver’ Oblast
Jewish Autonomous Oblast
Ingushetiya Republic
Kaluga
Kaliningrad
North Ossetia
Perm
Smolensk
Primorskiy (Maritime) Kray
Vologda
Stavropol Krai
Astrakhan
Transbaikal Territory
Tambov
Tyva Republic
Arkhangelsk Oblast
